job,marital,education,housing,loan,contact,campaign,poutcome,y
services,single,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,2,other,yes
blue-collar,married,secondary,no,yes,cellular,2,unknown,no
unemployed,married,primary,no,no,unknown,2,unknown,no
self-employed,married,secondary,no,no,cellular,3,unknown,no
technician,single,secondary,no,no,telephone,3,unknown,no
management,married,tertiary,no,no,telephone,3,unknown,yes
technician,single,tertiary,yes,no,cellular,1,unknown,no
services,married,secondary,yes,no,unknown,2,unknown,no
blue-collar,divorced,primary,yes,no,cellular,1,failure,no
services,single,secondary,no,no,cellular,1,unknown,no
blue-collar,married,primary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,8,unknown,no
self-employed,married,primary,yes,no,unknown,3,unknown,no
services,married,secondary,yes,no,telephone,9,unknown,no
retired,married,secondary,no,yes,cellular,6,unknown,no
management,married,tertiary,no,no,cellular,1,unknown,no
services,married,secondary,no,no,cellular,1,failure,yes
management,married,tertiary,no,no,cellular,2,unknown,no
technician,married,primary,no,no,cellular,2,unknown,no
admin.,single,secondary,no,no,cellular,1,unknown,no
technician,married,secondary,yes,no,cellular,2,unknown,no
services,married,secondary,yes,yes,unknown,5,unknown,no
technician,married,secondary,yes,no,unknown,3,unknown,no
technician,married,secondary,yes,no,telephone,3,other,no
blue-collar,married,primary,no,no,cellular,8,unknown,no
services,married,secondary,yes,no,cellular,2,unknown,yes
entrepreneur,single,secondary,no,no,cellular,3,unknown,no
management,divorced,tertiary,yes,no,unknown,2,unknown,no
technician,married,secondary,yes,yes,cellular,1,unknown,no
blue-collar,single,primary,yes,no,unknown,2,unknown,no
services,married,unknown,yes,no,unknown,1,unknown,no
services,married,secondary,yes,no,telephone,14,unknown,no
management,divorced,tertiary,no,no,unknown,3,unknown,no
blue-collar,single,secondary,yes,no,cellular,1,success,yes
student,single,secondary,yes,no,unknown,2,unknown,no
technician,married,secondary,no,no,cellular,2,unknown,no
technician,married,tertiary,no,no,cellular,9,unknown,no
management,married,secondary,yes,no,cellular,3,unknown,no
blue-collar,single,secondary,yes,no,cellular,1,failure,no
entrepreneur,married,secondary,yes,no,cellular,3,unknown,yes
blue-collar,married,primary,no,yes,cellular,1,unknown,no
management,married,tertiary,yes,yes,cellular,1,unknown,no
services,married,secondary,yes,no,cellular,1,failure,no
blue-collar,married,secondary,no,no,unknown,1,unknown,no
blue-collar,married,primary,no,no,telephone,4,unknown,no
admin.,single,secondary,yes,no,cellular,1,success,no
blue-collar,married,primary,yes,yes,unknown,5,unknown,no
technician,married,tertiary,no,no,cellular,6,unknown,no
management,married,tertiary,no,no,cellular,1,unknown,no
admin.,single,secondary,yes,yes,cellular,2,unknown,no
admin.,single,unknown,yes,no,cellular,1,unknown,no
management,married,tertiary,no,yes,cellular,1,unknown,no
entrepreneur,single,primary,yes,no,unknown,2,unknown,yes
management,divorced,tertiary,yes,no,cellular,1,failure,no
admin.,married,secondary,yes,yes,unknown,1,unknown,no
technician,married,secondary,no,yes,cellular,2,unknown,no
admin.,divorced,secondary,no,yes,cellular,1,unknown,no
services,married,secondary,no,no,cellular,17,unknown,no
technician,single,tertiary,yes,no,unknown,1,unknown,no
management,married,tertiary,yes,yes,unknown,4,unknown,yes
technician,single,tertiary,no,no,cellular,1,unknown,no
services,married,secondary,no,no,unknown,2,unknown,no
admin.,divorced,secondary,no,no,cellular,10,unknown,no
management,married,tertiary,no,no,cellular,4,unknown,no
admin.,single,secondary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
retired,married,secondary,no,no,cellular,4,unknown,no
entrepreneur,married,tertiary,no,no,unknown,4,unknown,no
management,divorced,tertiary,no,no,cellular,4,unknown,no
management,married,tertiary,yes,no,cellular,2,failure,yes
student,single,secondary,no,no,cellular,1,failure,yes
technician,divorced,secondary,yes,no,unknown,1,unknown,no
management,single,unknown,yes,no,cellular,1,other,no
admin.,married,secondary,no,no,unknown,1,unknown,no
self-employed,married,tertiary,no,no,unknown,1,unknown,no
blue-collar,married,primary,yes,no,cellular,25,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,yes
blue-collar,married,secondary,yes,yes,cellular,2,failure,yes
management,married,tertiary,no,no,cellular,1,unknown,no
admin.,married,secondary,yes,no,unknown,1,unknown,no
blue-collar,divorced,secondary,yes,yes,unknown,1,unknown,no
management,single,tertiary,yes,no,cellular,4,unknown,no
self-employed,single,tertiary,no,no,cellular,1,unknown,no
entrepreneur,married,tertiary,yes,no,cellular,2,unknown,no
management,single,tertiary,no,no,cellular,5,unknown,no
technician,married,secondary,no,no,cellular,2,unknown,no
services,divorced,secondary,yes,yes,unknown,2,unknown,no
blue-collar,single,secondary,no,yes,cellular,2,unknown,no
self-employed,single,tertiary,no,no,cellular,1,unknown,no
technician,married,secondary,yes,no,cellular,2,unknown,no
services,married,secondary,yes,no,cellular,2,unknown,yes
technician,married,secondary,yes,no,cellular,1,unknown,no
management,single,tertiary,no,yes,cellular,1,failure,no
admin.,divorced,secondary,yes,no,unknown,3,unknown,no
services,married,secondary,yes,yes,cellular,4,unknown,no
self-employed,married,tertiary,yes,no,cellular,3,unknown,no
blue-collar,married,secondary,yes,no,cellular,6,unknown,no
technician,married,secondary,yes,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,unknown,6,unknown,no
admin.,single,secondary,no,yes,cellular,1,failure,no
services,married,secondary,yes,no,unknown,2,unknown,no
housemaid,single,tertiary,yes,yes,cellular,2,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,no
admin.,single,secondary,yes,yes,cellular,2,unknown,no
technician,married,secondary,yes,yes,unknown,5,unknown,no
services,married,secondary,yes,no,unknown,2,unknown,no
unemployed,divorced,tertiary,no,no,cellular,1,failure,no
management,married,tertiary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,1,success,yes
blue-collar,married,primary,no,no,cellular,2,unknown,no
housemaid,single,secondary,no,no,cellular,1,unknown,no
unemployed,married,tertiary,yes,no,unknown,7,unknown,no
management,single,tertiary,yes,no,cellular,3,failure,no
management,single,secondary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,no,no,unknown,1,unknown,no
retired,married,primary,no,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,yes
services,divorced,secondary,no,no,cellular,6,unknown,no
technician,single,secondary,no,no,cellular,2,unknown,no
management,single,tertiary,no,no,cellular,1,unknown,no
retired,married,secondary,yes,no,cellular,2,failure,no
management,married,tertiary,no,no,cellular,2,unknown,no
management,married,tertiary,yes,no,unknown,15,unknown,no
admin.,married,secondary,no,no,cellular,2,success,no
blue-collar,single,primary,no,no,unknown,1,unknown,no
management,single,secondary,yes,no,unknown,1,unknown,no
services,single,secondary,yes,no,unknown,7,unknown,no
retired,married,secondary,yes,no,unknown,3,unknown,no
management,single,tertiary,yes,no,cellular,1,failure,no
technician,divorced,tertiary,yes,yes,unknown,2,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
admin.,single,secondary,yes,no,cellular,1,unknown,yes
management,married,tertiary,yes,no,cellular,2,unknown,no
blue-collar,married,primary,yes,yes,telephone,10,unknown,no
technician,married,secondary,no,no,cellular,1,other,no
technician,single,secondary,no,no,cellular,4,unknown,no
technician,married,secondary,yes,no,cellular,3,unknown,no
management,single,secondary,yes,no,unknown,3,unknown,no
retired,married,secondary,no,no,cellular,1,unknown,no
blue-collar,single,primary,yes,no,unknown,2,unknown,no
entrepreneur,married,tertiary,yes,no,cellular,3,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
services,married,secondary,yes,no,cellular,2,unknown,no
technician,single,secondary,no,no,cellular,3,unknown,no
unemployed,married,tertiary,no,no,unknown,6,unknown,no
technician,married,secondary,no,no,cellular,3,unknown,no
student,single,secondary,no,no,unknown,1,unknown,no
entrepreneur,married,tertiary,yes,no,cellular,1,unknown,no
admin.,married,secondary,no,no,unknown,1,unknown,no
technician,single,tertiary,no,no,cellular,14,unknown,no
entrepreneur,married,secondary,yes,yes,cellular,1,failure,no
technician,married,secondary,no,yes,cellular,2,other,no
services,married,secondary,no,yes,unknown,4,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,yes
technician,married,tertiary,no,no,cellular,2,unknown,no
entrepreneur,married,tertiary,yes,no,unknown,1,unknown,no
self-employed,married,tertiary,yes,no,unknown,3,unknown,no
technician,married,secondary,no,no,cellular,2,unknown,no
services,divorced,secondary,no,yes,cellular,2,unknown,no
technician,single,secondary,yes,no,cellular,1,failure,no
admin.,married,unknown,no,no,unknown,1,unknown,no
management,married,secondary,no,no,cellular,1,unknown,no
services,divorced,secondary,yes,no,unknown,1,unknown,no
technician,married,tertiary,yes,no,cellular,1,failure,no
management,divorced,tertiary,no,no,unknown,3,unknown,no
management,divorced,tertiary,yes,no,unknown,25,unknown,no
management,married,tertiary,no,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
management,married,tertiary,yes,no,unknown,1,unknown,no
admin.,married,secondary,yes,no,unknown,2,unknown,no
housemaid,divorced,tertiary,yes,no,cellular,3,unknown,no
blue-collar,divorced,primary,no,no,cellular,1,unknown,no
self-employed,single,tertiary,yes,no,unknown,17,unknown,no
entrepreneur,married,tertiary,yes,no,cellular,1,unknown,no
retired,single,primary,no,no,cellular,3,unknown,no
admin.,married,secondary,yes,no,cellular,1,failure,no
management,married,secondary,no,no,cellular,3,unknown,no
management,single,tertiary,no,no,unknown,25,unknown,no
services,single,secondary,yes,no,unknown,2,unknown,yes
blue-collar,married,primary,no,no,cellular,3,unknown,no
self-employed,married,secondary,no,no,cellular,5,unknown,no
blue-collar,married,secondary,yes,yes,unknown,2,unknown,no
admin.,single,secondary,yes,no,cellular,1,other,no
services,married,secondary,yes,no,unknown,9,unknown,no
admin.,married,secondary,yes,yes,unknown,4,unknown,no
blue-collar,single,secondary,yes,no,cellular,4,unknown,no
blue-collar,divorced,secondary,yes,no,cellular,3,unknown,no
technician,single,secondary,yes,no,cellular,2,unknown,no
technician,single,tertiary,no,no,cellular,5,unknown,no
management,married,tertiary,yes,no,cellular,7,other,yes
services,married,secondary,no,no,unknown,1,unknown,no
management,married,secondary,yes,no,unknown,5,unknown,no
admin.,single,tertiary,yes,no,cellular,1,failure,no
management,married,tertiary,yes,no,cellular,1,unknown,no
services,married,tertiary,yes,no,unknown,1,unknown,no
unemployed,married,secondary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,4,unknown,no
admin.,married,secondary,no,no,cellular,2,unknown,no
management,married,secondary,no,no,cellular,1,unknown,no
blue-collar,married,primary,yes,no,unknown,4,unknown,no
management,married,tertiary,no,no,cellular,1,unknown,no
management,married,tertiary,yes,no,unknown,13,unknown,no
services,single,secondary,yes,yes,cellular,5,failure,no
entrepreneur,married,tertiary,yes,no,unknown,2,unknown,no
management,single,tertiary,yes,no,unknown,12,unknown,no
management,single,tertiary,no,no,cellular,2,unknown,no
technician,single,secondary,yes,yes,unknown,1,unknown,no
technician,married,secondary,yes,no,cellular,4,unknown,no
unknown,married,unknown,no,no,unknown,1,unknown,no
admin.,married,secondary,no,no,unknown,1,unknown,no
management,married,secondary,yes,no,cellular,2,unknown,no
management,single,secondary,no,no,cellular,4,unknown,no
services,married,secondary,yes,yes,cellular,1,unknown,no
services,married,secondary,yes,yes,unknown,1,unknown,no
student,single,secondary,no,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,cellular,1,unknown,no
services,single,secondary,yes,no,cellular,10,failure,no
blue-collar,married,primary,no,no,cellular,2,unknown,no
services,divorced,secondary,yes,no,unknown,1,unknown,no
management,married,secondary,yes,no,cellular,2,unknown,no
management,divorced,tertiary,no,yes,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,9,unknown,no
admin.,divorced,secondary,yes,no,cellular,1,other,no
services,single,secondary,no,no,cellular,23,unknown,no
management,single,unknown,yes,no,unknown,3,unknown,no
services,married,secondary,yes,no,cellular,1,unknown,no
entrepreneur,married,secondary,yes,no,unknown,1,unknown,no
technician,single,secondary,yes,no,cellular,6,unknown,yes
management,divorced,tertiary,yes,no,unknown,1,unknown,no
services,single,secondary,yes,no,cellular,2,success,yes
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,divorced,secondary,yes,no,unknown,1,unknown,no
unemployed,single,secondary,no,no,cellular,2,unknown,yes
services,married,secondary,yes,no,unknown,1,unknown,yes
technician,single,secondary,no,no,cellular,4,unknown,no
blue-collar,married,secondary,yes,no,telephone,6,unknown,no
blue-collar,divorced,secondary,yes,no,cellular,2,failure,no
technician,single,secondary,yes,no,cellular,1,success,no
unemployed,married,secondary,no,no,cellular,4,unknown,no
management,single,tertiary,no,yes,cellular,1,unknown,no
student,single,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
services,married,secondary,yes,yes,cellular,2,unknown,no
technician,married,tertiary,yes,no,unknown,1,unknown,no
blue-collar,married,primary,yes,no,telephone,8,unknown,no
admin.,married,secondary,yes,no,cellular,2,unknown,no
technician,married,tertiary,no,yes,unknown,4,unknown,no
retired,single,secondary,no,yes,unknown,2,unknown,no
management,divorced,tertiary,no,yes,cellular,1,unknown,no
management,married,tertiary,yes,yes,unknown,1,unknown,no
entrepreneur,married,secondary,yes,no,cellular,1,unknown,no
unknown,married,secondary,no,no,cellular,3,unknown,no
services,single,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,1,failure,no
blue-collar,single,primary,yes,no,unknown,17,unknown,no
entrepreneur,married,secondary,no,yes,cellular,6,unknown,no
retired,married,secondary,no,no,cellular,2,unknown,no
self-employed,married,secondary,no,no,unknown,1,unknown,no
management,married,tertiary,yes,no,telephone,3,unknown,no
management,married,primary,yes,no,telephone,1,unknown,no
technician,married,secondary,yes,no,telephone,2,unknown,no
entrepreneur,married,primary,no,no,cellular,2,unknown,no
technician,married,secondary,yes,yes,cellular,2,failure,no
services,married,secondary,yes,no,telephone,4,unknown,no
services,married,primary,no,no,unknown,3,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
admin.,single,secondary,no,no,cellular,2,unknown,no
housemaid,single,tertiary,yes,no,cellular,1,unknown,no
technician,divorced,secondary,yes,no,cellular,2,unknown,no
housemaid,married,primary,no,yes,unknown,3,unknown,no
services,married,secondary,yes,no,cellular,2,unknown,no
technician,married,secondary,no,no,cellular,20,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
management,single,tertiary,yes,yes,unknown,3,unknown,no
management,married,tertiary,no,no,cellular,3,unknown,no
technician,single,tertiary,no,no,cellular,3,unknown,no
blue-collar,single,secondary,no,yes,cellular,1,unknown,yes
self-employed,married,tertiary,no,no,cellular,1,unknown,no
management,single,tertiary,no,no,cellular,2,unknown,yes
blue-collar,married,primary,yes,no,cellular,4,unknown,no
entrepreneur,single,secondary,no,no,unknown,2,unknown,no
management,married,tertiary,no,no,cellular,1,unknown,no
unemployed,married,secondary,yes,yes,cellular,3,unknown,no
blue-collar,married,secondary,yes,no,cellular,6,unknown,no
technician,single,tertiary,no,no,cellular,1,unknown,no
services,single,secondary,yes,no,unknown,1,unknown,no
student,single,secondary,no,no,cellular,1,failure,no
technician,married,secondary,no,yes,cellular,2,failure,no
unemployed,married,secondary,no,no,cellular,4,failure,yes
technician,divorced,tertiary,no,no,cellular,5,unknown,no
retired,married,primary,no,no,cellular,1,failure,yes
admin.,single,secondary,no,yes,cellular,2,unknown,no
management,married,tertiary,yes,no,cellular,3,unknown,no
technician,married,secondary,no,no,cellular,2,other,yes
admin.,single,secondary,yes,no,cellular,2,unknown,no
management,married,tertiary,yes,yes,cellular,1,failure,no
blue-collar,married,secondary,yes,no,unknown,3,unknown,no
technician,divorced,tertiary,yes,no,cellular,3,unknown,no
admin.,married,secondary,yes,no,unknown,1,unknown,no
technician,married,secondary,yes,no,unknown,2,unknown,no
technician,single,tertiary,yes,no,cellular,1,unknown,no
management,married,secondary,yes,no,cellular,2,failure,yes
housemaid,married,tertiary,yes,yes,cellular,3,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,failure,no
blue-collar,married,primary,no,no,cellular,4,failure,no
student,single,tertiary,no,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,3,success,yes
blue-collar,married,primary,yes,no,unknown,4,unknown,no
admin.,married,secondary,no,no,cellular,1,unknown,no
management,divorced,tertiary,yes,no,cellular,9,unknown,no
management,married,tertiary,yes,yes,cellular,2,unknown,no
technician,married,tertiary,no,no,cellular,2,unknown,no
unemployed,married,secondary,no,no,unknown,2,unknown,no
technician,married,primary,yes,no,unknown,2,unknown,no
unemployed,divorced,secondary,no,no,cellular,2,unknown,no
admin.,married,secondary,yes,yes,telephone,6,unknown,no
housemaid,married,primary,no,no,telephone,1,unknown,no
blue-collar,single,primary,yes,no,cellular,1,failure,no
services,single,secondary,yes,no,cellular,1,unknown,no
services,married,tertiary,yes,no,unknown,2,unknown,no
blue-collar,single,unknown,no,no,unknown,1,unknown,no
technician,single,tertiary,yes,no,unknown,1,unknown,yes
unemployed,single,primary,no,no,unknown,1,unknown,no
self-employed,married,secondary,no,no,cellular,2,unknown,no
services,single,secondary,yes,no,cellular,1,unknown,no
admin.,single,secondary,yes,no,unknown,1,unknown,no
retired,married,primary,yes,yes,cellular,1,unknown,no
technician,married,tertiary,yes,no,cellular,2,unknown,no
student,single,secondary,no,no,cellular,2,other,yes
admin.,married,secondary,yes,no,cellular,1,unknown,no
technician,married,tertiary,yes,no,cellular,3,unknown,no
management,married,tertiary,yes,no,cellular,2,failure,no
admin.,divorced,secondary,yes,no,unknown,4,unknown,no
technician,married,secondary,no,no,unknown,2,unknown,no
unknown,married,primary,no,no,cellular,2,unknown,yes
admin.,divorced,secondary,no,no,cellular,2,failure,no
technician,married,secondary,yes,yes,cellular,2,unknown,no
admin.,divorced,secondary,no,yes,cellular,2,unknown,yes
management,married,tertiary,no,no,cellular,1,unknown,no
housemaid,married,secondary,no,no,cellular,3,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
self-employed,single,tertiary,no,no,cellular,3,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
unknown,married,unknown,no,no,cellular,1,failure,yes
unknown,divorced,tertiary,no,no,cellular,9,unknown,no
technician,married,secondary,yes,no,unknown,2,unknown,no
retired,married,primary,no,yes,cellular,1,unknown,no
admin.,married,secondary,no,no,cellular,2,unknown,no
retired,married,primary,no,no,cellular,4,unknown,no
management,single,tertiary,yes,no,unknown,8,unknown,no
technician,single,secondary,no,no,cellular,2,unknown,no
admin.,divorced,secondary,no,yes,cellular,1,unknown,no
self-employed,single,tertiary,yes,no,unknown,1,unknown,no
management,single,tertiary,yes,no,cellular,3,unknown,no
blue-collar,married,primary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,no,telephone,4,unknown,yes
student,single,tertiary,no,no,cellular,2,unknown,no
retired,married,secondary,yes,no,unknown,2,unknown,no
admin.,married,secondary,no,no,cellular,3,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,yes,cellular,50,unknown,no
management,divorced,tertiary,no,yes,cellular,6,unknown,no
admin.,married,secondary,yes,no,cellular,3,unknown,no
unemployed,single,secondary,yes,no,cellular,6,unknown,no
student,married,unknown,no,no,telephone,6,unknown,no
blue-collar,married,primary,yes,no,unknown,3,unknown,no
retired,divorced,secondary,no,yes,unknown,1,unknown,no
retired,married,primary,no,no,cellular,1,unknown,no
housemaid,married,primary,no,yes,unknown,1,unknown,yes
blue-collar,married,primary,yes,no,unknown,2,unknown,no
technician,single,unknown,yes,no,unknown,2,unknown,no
admin.,married,secondary,yes,no,cellular,3,unknown,no
management,married,tertiary,yes,no,cellular,5,unknown,no
blue-collar,married,unknown,yes,no,unknown,1,unknown,no
technician,single,secondary,no,no,cellular,4,unknown,no
technician,single,tertiary,no,no,cellular,4,unknown,no
management,divorced,tertiary,yes,no,unknown,1,unknown,no
unemployed,married,secondary,yes,no,cellular,2,unknown,no
blue-collar,divorced,secondary,no,no,cellular,1,unknown,no
management,divorced,tertiary,yes,yes,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,3,failure,no
blue-collar,married,unknown,no,no,cellular,1,other,no
management,single,tertiary,yes,no,cellular,2,unknown,no
services,single,secondary,yes,yes,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,unknown,4,unknown,no
management,single,tertiary,no,no,unknown,1,failure,no
management,single,tertiary,no,no,cellular,4,unknown,no
retired,married,unknown,no,no,telephone,2,unknown,no
unemployed,divorced,secondary,yes,no,telephone,1,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
housemaid,married,primary,no,no,cellular,5,unknown,no
student,single,tertiary,no,no,cellular,2,unknown,no
entrepreneur,divorced,primary,no,no,cellular,2,failure,no
blue-collar,married,primary,yes,no,cellular,3,unknown,no
management,married,secondary,yes,no,unknown,1,unknown,no
technician,divorced,secondary,no,no,cellular,1,success,yes
management,married,tertiary,yes,no,cellular,3,other,yes
self-employed,married,unknown,yes,no,cellular,1,unknown,no
admin.,single,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,yes,cellular,1,unknown,no
admin.,divorced,primary,no,yes,cellular,1,unknown,no
management,single,secondary,yes,yes,unknown,2,unknown,no
services,married,secondary,yes,no,unknown,1,unknown,no
management,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,unknown,yes,no,cellular,9,unknown,no
management,single,tertiary,no,no,cellular,4,unknown,no
management,married,tertiary,no,yes,unknown,3,unknown,no
management,divorced,secondary,no,no,cellular,4,unknown,no
services,married,secondary,yes,no,unknown,10,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,yes
blue-collar,married,secondary,yes,no,cellular,3,unknown,no
unemployed,married,tertiary,no,no,cellular,1,failure,no
admin.,divorced,secondary,yes,no,cellular,1,failure,yes
technician,divorced,secondary,yes,no,cellular,5,unknown,no
retired,married,primary,no,no,cellular,2,unknown,no
technician,married,secondary,yes,no,unknown,4,unknown,no
blue-collar,married,secondary,yes,no,cellular,3,failure,no
admin.,married,secondary,yes,no,cellular,5,unknown,no
admin.,divorced,secondary,no,no,cellular,1,unknown,no
admin.,married,secondary,yes,no,cellular,1,failure,no
technician,divorced,secondary,yes,yes,cellular,1,unknown,no
blue-collar,single,unknown,yes,no,cellular,1,unknown,no
student,married,unknown,no,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,yes,unknown,3,unknown,no
retired,married,secondary,no,no,cellular,1,unknown,yes
technician,married,secondary,yes,no,unknown,6,unknown,no
technician,married,secondary,no,no,unknown,1,unknown,no
blue-collar,married,secondary,no,no,cellular,1,unknown,no
admin.,married,secondary,yes,no,cellular,12,unknown,no
blue-collar,married,secondary,yes,yes,unknown,1,unknown,no
services,single,secondary,yes,no,unknown,10,unknown,no
blue-collar,married,secondary,yes,no,unknown,5,unknown,no
services,single,secondary,no,yes,cellular,1,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
technician,married,secondary,no,no,cellular,12,unknown,no
management,married,tertiary,yes,no,unknown,6,unknown,no
services,married,secondary,yes,no,unknown,4,unknown,no
management,single,tertiary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
technician,married,tertiary,no,no,cellular,5,success,yes
management,married,tertiary,no,no,cellular,1,unknown,no
management,married,primary,no,no,unknown,1,unknown,no
blue-collar,single,secondary,yes,yes,unknown,3,unknown,no
management,married,tertiary,yes,no,unknown,1,unknown,no
management,divorced,tertiary,no,no,cellular,2,unknown,no
entrepreneur,divorced,tertiary,yes,yes,unknown,3,unknown,no
services,married,secondary,yes,no,cellular,3,unknown,no
management,married,tertiary,yes,yes,cellular,7,unknown,no
technician,divorced,secondary,yes,no,cellular,2,unknown,no
management,single,secondary,yes,no,unknown,6,unknown,no
admin.,married,secondary,yes,yes,cellular,6,unknown,no
services,single,secondary,no,no,cellular,1,unknown,no
technician,married,secondary,no,no,cellular,2,failure,no
blue-collar,divorced,primary,yes,no,unknown,1,unknown,no
blue-collar,single,primary,no,no,cellular,1,failure,no
management,married,tertiary,yes,no,cellular,4,unknown,no
management,divorced,tertiary,no,no,unknown,1,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
management,single,tertiary,no,no,cellular,2,unknown,no
management,married,unknown,no,no,cellular,1,unknown,no
management,married,primary,yes,yes,unknown,1,unknown,no
technician,married,unknown,no,no,unknown,5,unknown,no
blue-collar,married,primary,no,yes,cellular,1,unknown,no
retired,married,secondary,no,no,cellular,1,unknown,no
management,married,primary,yes,no,unknown,1,unknown,no
entrepreneur,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,single,secondary,no,no,cellular,2,unknown,no
entrepreneur,married,tertiary,yes,yes,cellular,1,unknown,no
admin.,married,secondary,yes,no,cellular,3,failure,no
technician,single,tertiary,yes,no,cellular,4,unknown,no
blue-collar,married,secondary,yes,no,cellular,4,failure,no
unemployed,married,tertiary,yes,no,cellular,7,unknown,no
services,married,secondary,no,no,cellular,9,unknown,no
services,married,secondary,no,no,cellular,6,unknown,no
services,married,secondary,no,no,cellular,4,unknown,yes
technician,single,secondary,yes,no,cellular,1,other,no
blue-collar,single,unknown,yes,no,unknown,12,unknown,no
admin.,single,secondary,yes,no,cellular,1,unknown,no
self-employed,married,primary,yes,no,cellular,1,unknown,no
entrepreneur,married,tertiary,yes,no,unknown,1,unknown,no
blue-collar,married,primary,yes,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,unknown,3,unknown,no
technician,married,secondary,yes,yes,telephone,2,unknown,no
blue-collar,divorced,secondary,yes,no,unknown,5,unknown,no
unemployed,divorced,primary,no,no,cellular,3,unknown,no
retired,married,primary,no,no,cellular,1,unknown,no
admin.,single,secondary,yes,no,cellular,1,unknown,no
management,married,primary,yes,no,cellular,1,unknown,no
management,single,tertiary,no,no,cellular,3,unknown,yes
housemaid,single,primary,yes,no,unknown,3,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,no
services,divorced,secondary,yes,no,unknown,1,unknown,no
self-employed,married,secondary,no,no,cellular,4,unknown,no
blue-collar,married,primary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
admin.,single,tertiary,yes,no,cellular,2,failure,no
retired,married,secondary,no,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
retired,divorced,secondary,no,yes,telephone,1,unknown,no
management,married,tertiary,no,no,cellular,4,unknown,yes
blue-collar,married,primary,no,no,cellular,1,unknown,no
management,married,tertiary,yes,no,unknown,1,unknown,no
management,married,tertiary,no,no,unknown,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,3,unknown,no
services,married,secondary,yes,no,unknown,1,unknown,no
management,married,secondary,yes,no,unknown,2,unknown,no
entrepreneur,married,secondary,yes,no,telephone,2,unknown,no
blue-collar,single,secondary,yes,no,cellular,1,failure,yes
management,married,tertiary,yes,no,cellular,1,other,yes
technician,married,secondary,yes,no,cellular,2,unknown,yes
technician,married,secondary,yes,no,cellular,2,unknown,no
services,single,secondary,yes,yes,unknown,2,unknown,no
admin.,married,secondary,no,yes,unknown,1,unknown,no
admin.,married,secondary,yes,no,cellular,2,failure,no
unemployed,married,secondary,yes,no,unknown,4,unknown,no
retired,married,primary,yes,no,cellular,1,unknown,no
admin.,single,secondary,yes,no,telephone,3,unknown,no
entrepreneur,married,unknown,no,no,unknown,2,unknown,no
admin.,divorced,unknown,no,no,cellular,1,unknown,no
